epoch,value,metric,data
1,1.3787814378738403,loss,training
2,0.44171831011772156,loss,training
3,0.40482810139656067,loss,training
4,0.3857463002204895,loss,training
5,0.3722653090953827,loss,training
6,0.36217835545539856,loss,training
7,0.35485732555389404,loss,training
8,0.34996309876441956,loss,training
9,0.34383758902549744,loss,training
10,0.3405315577983856,loss,training
11,0.3340872526168823,loss,training
12,0.33192646503448486,loss,training
13,0.3286736309528351,loss,training
14,0.3258284330368042,loss,training
15,0.3222667872905731,loss,training
16,0.32225605845451355,loss,training
17,0.3183309733867645,loss,training
18,0.3167794942855835,loss,training
19,0.3137802481651306,loss,training
20,0.3120938539505005,loss,training
21,0.310793936252594,loss,training
22,0.3077871799468994,loss,training
23,0.30764079093933105,loss,training
24,0.3059786558151245,loss,training
25,0.303483247756958,loss,training
26,0.30260300636291504,loss,training
27,0.3018966317176819,loss,training
28,0.30036115646362305,loss,training
29,0.2985602617263794,loss,training
30,0.29815396666526794,loss,training
31,0.29570937156677246,loss,training
32,0.294192910194397,loss,training
33,0.2937556803226471,loss,training
34,0.2923218309879303,loss,training
35,0.29078301787376404,loss,training
36,0.29001885652542114,loss,training
37,0.28883761167526245,loss,training
38,0.288923442363739,loss,training
39,0.28703078627586365,loss,training
40,0.28573647141456604,loss,training
41,0.2852993309497833,loss,training
42,0.28426703810691833,loss,training
43,0.28313735127449036,loss,training
44,0.28121715784072876,loss,training
45,0.281613290309906,loss,training
46,0.28054502606391907,loss,training
47,0.27922433614730835,loss,training
48,0.2779589295387268,loss,training
49,0.2772657573223114,loss,training
50,0.2777482569217682,loss,training
51,0.2761365473270416,loss,training
52,0.2757430374622345,loss,training
53,0.27410387992858887,loss,training
54,0.2732926905155182,loss,training
55,0.2737346291542053,loss,training
56,0.27219825983047485,loss,training
57,0.2712628245353699,loss,training
58,0.2701723277568817,loss,training
59,0.2698937654495239,loss,training
60,0.2689361274242401,loss,training
61,0.26859956979751587,loss,training
62,0.2681962847709656,loss,training
63,0.26657557487487793,loss,training
64,0.2668044865131378,loss,training
65,0.265270859003067,loss,training
66,0.2649588882923126,loss,training
67,0.2643459141254425,loss,training
68,0.26367872953414917,loss,training
69,0.2629125416278839,loss,training
70,0.2621249258518219,loss,training
71,0.2626591622829437,loss,training
72,0.26127421855926514,loss,training
73,0.26097866892814636,loss,training
74,0.25941750407218933,loss,training
75,0.258746862411499,loss,training
76,0.25959065556526184,loss,training
77,0.2583199739456177,loss,training
78,0.2577541172504425,loss,training
79,0.25596922636032104,loss,training
80,0.2565404772758484,loss,training
81,0.2561834156513214,loss,training
82,0.2545506954193115,loss,training
83,0.25436684489250183,loss,training
84,0.25386008620262146,loss,training
85,0.2529383599758148,loss,training
86,0.25217893719673157,loss,training
87,0.25310713052749634,loss,training
88,0.251839816570282,loss,training
89,0.25072798132896423,loss,training
90,0.2507372498512268,loss,training
91,0.24985641241073608,loss,training
92,0.24926553666591644,loss,training
93,0.24925550818443298,loss,training
94,0.24831128120422363,loss,training
95,0.24796219170093536,loss,training
96,0.24647869169712067,loss,training
97,0.24654236435890198,loss,training
98,0.24613706767559052,loss,training
99,0.245578333735466,loss,training
100,0.24499033391475677,loss,training
101,0.2443779557943344,loss,training
102,0.2443375289440155,loss,training
103,0.24381420016288757,loss,training
104,0.24240218102931976,loss,training
105,0.24208427965641022,loss,training
106,0.24225683510303497,loss,training
107,0.24158725142478943,loss,training
108,0.24112291634082794,loss,training
109,0.24015390872955322,loss,training
110,0.23980212211608887,loss,training
111,0.23940114676952362,loss,training
112,0.23892584443092346,loss,training
113,0.23880025744438171,loss,training
114,0.23758617043495178,loss,training
115,0.23825642466545105,loss,training
116,0.2365161031484604,loss,training
117,0.23627527058124542,loss,training
118,0.23589862883090973,loss,training
119,0.23498953878879547,loss,training
120,0.23527953028678894,loss,training
121,0.23379918932914734,loss,training
122,0.23383261263370514,loss,training
123,0.2334313839673996,loss,training
124,0.23216378688812256,loss,training
125,0.23280411958694458,loss,training
126,0.23148518800735474,loss,training
127,0.23139643669128418,loss,training
128,0.2311474233865738,loss,training
129,0.230838343501091,loss,training
130,0.22959654033184052,loss,training
131,0.22965306043624878,loss,training
132,0.2285885065793991,loss,training
133,0.22819149494171143,loss,training
134,0.22861050069332123,loss,training
135,0.22775377333164215,loss,training
136,0.22637832164764404,loss,training
137,0.22617994248867035,loss,training
138,0.22586917877197266,loss,training
139,0.22604115307331085,loss,training
140,0.2246197909116745,loss,training
141,0.2241269201040268,loss,training
142,0.22398126125335693,loss,training
143,0.22314751148223877,loss,training
144,0.22294126451015472,loss,training
145,0.22280703485012054,loss,training
146,0.22163331508636475,loss,training
147,0.22121624648571014,loss,training
148,0.2210332304239273,loss,training
149,0.22017481923103333,loss,training
150,0.21978403627872467,loss,training
151,0.21992945671081543,loss,training
152,0.2189149558544159,loss,training
153,0.2183653861284256,loss,training
154,0.21804708242416382,loss,training
155,0.2178991287946701,loss,training
156,0.2170051485300064,loss,training
157,0.21620337665081024,loss,training
158,0.21632342040538788,loss,training
159,0.2158581018447876,loss,training
160,0.21530523896217346,loss,training
161,0.21470531821250916,loss,training
162,0.2146817147731781,loss,training
163,0.21375979483127594,loss,training
164,0.21387280523777008,loss,training
165,0.2131168693304062,loss,training
166,0.21218468248844147,loss,training
167,0.2120344638824463,loss,training
168,0.21135908365249634,loss,training
169,0.21097126603126526,loss,training
170,0.2105947583913803,loss,training
171,0.2100352793931961,loss,training
172,0.20994046330451965,loss,training
173,0.2095143347978592,loss,training
174,0.20875348150730133,loss,training
